Evaluation Method,Original time series length,Window size,Stride,Number of windows evaluated, anomaly rate,Window scoring method,Window labeling method,Metrics,AUC-ROC,AU-PR,F1,Precision,Recall,FPR,Threshold,kpi_id,confusion_matrix,predictions_for_auc,individual_metrics,num_samples,num_anomalies
CARLA-style   ,21444.0,100.0,1.0,21345.0,0.1930662918716327,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.5014273225071635,0.20936453758730691,0.31045689160772316,0.256111023497871,0.394079107012861,0.273862052949373,0.5,da10a69f-d836-3baa-ad40-3e548ecf1fbd,"{'tp': 1624, 'fp': 4717, 'tn': 12507, 'fn': 2497}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.0041548 , 0.00416575, 0.00416204, ..., 0.00424587, 0.00428169,
       0.00424811])}","{'auc': 0.5014273225071635, 'aupr': 0.20936453758730691, 'f1': 0.31045689160772316, 'precision': 0.256111023497871, 'recall': 0.394079107012861}",21345,4121
CARLA-style   ,1657.0,100.0,1.0,1558.0,0.15725288831835688,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.4834885058364549,0.2327332186027658,0.2666666666666666,0.5176470588235295,0.17959183673469387,0.031226199543031227,0.5,e0747cad-8dc8-38a9-a9ab-855b61f5551d,"{'tp': 44, 'fp': 41, 'tn': 1272, 'fn': 201}","{'y_true': array([1, 1, 1, ..., 0, 0, 0]), 'y_scores': array([0.00645811, 0.00621933, 0.00626829, ..., 0.00585178, 0.00587561,
       0.00590916])}","{'auc': 0.4834885058364549, 'aupr': 0.2327332186027658, 'f1': 0.2666666666666666, 'precision': 0.5176470588235295, 'recall': 0.17959183673469387}",1558,245
CARLA-style   ,2128.0,100.0,1.0,2029.0,0.14342040413997043,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7657753312849228,0.6104321471512278,0.5831903945111492,0.5821917808219178,0.584192439862543,0.07019562715765247,0.5,ab216663-dcc2-3a24-b1ee-2c3e550e06c9,"{'tp': 170, 'fp': 122, 'tn': 1616, 'fn': 121}","{'y_true': array([0, 0, 0, ..., 1, 1, 1]), 'y_scores': array([0.0051812 , 0.00527986, 0.00518978, ..., 0.00509312, 0.00515444,
       0.00522599])}","{'auc': 0.7657753312849228, 'aupr': 0.6104321471512278, 'f1': 0.5831903945111492, 'precision': 0.5821917808219178, 'recall': 0.584192439862543}",2029,291
CARLA-style   ,1673.0,100.0,1.0,1574.0,0.22935196950444728,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.894223017951874,0.7950314884642387,0.7431059506531204,0.7804878048780488,0.7091412742382271,0.05935696619950536,0.5,a8c06b47-cc41-3738-9110-12df0ee4c721,"{'tp': 256, 'fp': 72, 'tn': 1141, 'fn': 105}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00564895, 0.00561935, 0.00562796, ..., 0.0055492 , 0.005609  ,
       0.00571845])}","{'auc': 0.894223017951874, 'aupr': 0.7950314884642387, 'f1': 0.7431059506531204, 'precision': 0.7804878048780488, 'recall': 0.7091412742382271}",1574,361
CARLA-style   ,1657.0,100.0,1.0,1558.0,0.12965340179717585,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.4079740938695639,0.10198102191668587,0.1834862385321101,0.11553273427471117,0.44554455445544555,0.5081120943952803,0.5,0efb375b-b902-3661-ab23-9a0bb799f4e3,"{'tp': 90, 'fp': 689, 'tn': 667, 'fn': 112}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00628581, 0.00621466, 0.00624209, ..., 0.00631917, 0.00622151,
       0.00610018])}","{'auc': 0.4079740938695639, 'aupr': 0.10198102191668587, 'f1': 0.1834862385321101, 'precision': 0.11553273427471117, 'recall': 0.44554455445544555}",1558,202
CARLA-style   ,1657.0,100.0,1.0,1558.0,0.12965340179717585,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.39795262712111923,0.10016065093563054,0.1459403905447071,0.09208819714656291,0.35148514851485146,0.5162241887905604,0.5,301c70d8-1630-35ac-8f96-bc1b6f4359ea,"{'tp': 71, 'fp': 700, 'tn': 656, 'fn': 131}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00599403, 0.00584954, 0.00598051, ..., 0.0059418 , 0.00584233,
       0.00584782])}","{'auc': 0.39795262712111923, 'aupr': 0.10016065093563054, 'f1': 0.1459403905447071, 'precision': 0.09208819714656291, 'recall': 0.35148514851485146}",1558,202
CARLA-style   ,25699.0,100.0,1.0,25600.0,0.0674609375,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.8860008730332345,0.647210556054545,0.6508710801393729,0.8171478565179353,0.540822235089751,0.008754660076236752,0.5,7103fa0f-cac4-314f-addc-866190247439,"{'tp': 934, 'fp': 209, 'tn': 23664, 'fn': 793}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00362159, 0.00379113, 0.00361952, ..., 0.00328473, 0.00328836,
       0.00332052])}","{'auc': 0.8860008730332345, 'aupr': 0.647210556054545, 'f1': 0.6508710801393729, 'precision': 0.8171478565179353, 'recall': 0.540822235089751}",25600,1727
CARLA-style   ,25675.0,100.0,1.0,25576.0,0.01579605880512981,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.615369131661299,0.0226028048004463,0.07766143106457242,0.042583732057416265,0.4405940594059406,0.15898617511520738,0.5,4d2af31a-9916-3d9f-8a8e-8a268a48c095,"{'tp': 178, 'fp': 4002, 'tn': 21170, 'fn': 226}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00440028, 0.00437641, 0.00438462, ..., 0.00592833, 0.00600293,
       0.00586681])}","{'auc': 0.615369131661299, 'aupr': 0.0226028048004463, 'f1': 0.07766143106457242, 'precision': 0.042583732057416265, 'recall': 0.4405940594059406}",25576,404
CARLA-style   ,25657.0,100.0,1.0,25558.0,0.015807183660693325,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.6822188192024259,0.05497269943414481,0.20095693779904306,0.13249211356466878,0.4158415841584158,0.04373061938459092,0.5,ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,"{'tp': 168, 'fp': 1100, 'tn': 24054, 'fn': 236}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00430019, 0.00427253, 0.0042631 , ..., 0.00457922, 0.00458613,
       0.00457352])}","{'auc': 0.6822188192024259, 'aupr': 0.05497269943414481, 'f1': 0.20095693779904306, 'precision': 0.13249211356466878, 'recall': 0.4158415841584158}",25558,404
CARLA-style   ,25658.0,100.0,1.0,25559.0,0.007903282601040729,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.9999921907243767,0.9991335165905255,0.8820960698689956,0.7890625,1.0,0.002129589462475845,0.5,57051487-3a40-3828-9084-a12f7f23ee38,"{'tp': 202, 'fp': 54, 'tn': 25303, 'fn': 0}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00351491, 0.00392518, 0.00386091, ..., 0.00295982, 0.0029606 ,
       0.00301887])}","{'auc': 0.9999921907243767, 'aupr': 0.9991335165905255, 'f1': 0.8820960698689956, 'precision': 0.7890625, 'recall': 1.0}",25559,202
CARLA-style   ,25658.0,100.0,1.0,25559.0,0.043507179467115305,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.6180059020644573,0.2197024685898855,0.2807017543859649,0.75,0.17266187050359713,0.0026179081277866406,0.5,f0932edd-6400-3e63-9559-0a9860a1baa9,"{'tp': 192, 'fp': 64, 'tn': 24383, 'fn': 920}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00437949, 0.00431533, 0.00432146, ..., 0.00610363, 0.00616458,
       0.00607596])}","{'auc': 0.6180059020644573, 'aupr': 0.2197024685898855, 'f1': 0.2807017543859649, 'precision': 0.75, 'recall': 0.17266187050359713}",25559,1112
CARLA-style   ,25710.0,100.0,1.0,25611.0,0.17851704345788919,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.6135753874496378,0.20537783786798247,0.33089716291649884,0.22452167122217884,0.628827646544182,0.47198060744331954,0.5,431a8542-c468-3988-a508-3afd06a218da,"{'tp': 2875, 'fp': 9930, 'tn': 11109, 'fn': 1697}","{'y_true': array([1, 1, 1, ..., 0, 0, 0]), 'y_scores': array([0.00435541, 0.00437021, 0.00437626, ..., 0.00473761, 0.00474879,
       0.00476665])}","{'auc': 0.6135753874496378, 'aupr': 0.20537783786798247, 'f1': 0.33089716291649884, 'precision': 0.22452167122217884, 'recall': 0.628827646544182}",25611,4572
CARLA-style   ,29151.0,100.0,1.0,29052.0,0.10374500894946992,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.8130145196905568,0.5302201063353257,0.49875133785230114,0.5393518518518519,0.46383543463835436,0.045856056532759815,0.5,1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,"{'tp': 1398, 'fp': 1194, 'tn': 24844, 'fn': 1616}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00420232, 0.00417648, 0.00417335, ..., 0.00419198, 0.00418441,
       0.00420616])}","{'auc': 0.8130145196905568, 'aupr': 0.5302201063353257, 'f1': 0.49875133785230114, 'precision': 0.5393518518518519, 'recall': 0.46383543463835436}",29052,3014
CARLA-style   ,29151.0,100.0,1.0,29052.0,0.1019895360044059,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7928829049014403,0.5272140485030421,0.5059535428459887,0.6,0.4373945325683429,0.03311740580321208,0.5,c69a50cf-ee03-3bd7-831e-407d36c7ee91,"{'tp': 1296, 'fp': 864, 'tn': 25225, 'fn': 1667}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.0042031 , 0.00418055, 0.0041731 , ..., 0.00419986, 0.00419129,
       0.00420996])}","{'auc': 0.7928829049014403, 'aupr': 0.5272140485030421, 'f1': 0.5059535428459887, 'precision': 0.6, 'recall': 0.4373945325683429}",29052,2963
CARLA-style   ,29151.0,100.0,1.0,29052.0,0.10842627013630732,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.8154670350882999,0.464085417338359,0.45158985351911396,0.5163398692810458,0.4012698412698413,0.04571075592618331,0.5,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,"{'tp': 1264, 'fp': 1184, 'tn': 24718, 'fn': 1886}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00421003, 0.00418947, 0.00418156, ..., 0.00418259, 0.00416635,
       0.00419262])}","{'auc': 0.8154670350882999, 'aupr': 0.464085417338359, 'f1': 0.45158985351911396, 'precision': 0.5163398692810458, 'recall': 0.4012698412698413}",29052,3150
CARLA-style   ,29146.0,100.0,1.0,29047.0,0.09577581161565739,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7865477301457809,0.3401555388600153,0.35944219992180376,0.2819464322224494,0.49568655643422,0.13371406815153244,0.5,847e8ecc-f8d2-3a93-9107-f367a0aab37d,"{'tp': 1379, 'fp': 3512, 'tn': 22753, 'fn': 1403}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00422557, 0.00419884, 0.00419249, ..., 0.00420539, 0.00420622,
       0.00422394])}","{'auc': 0.7865477301457809, 'aupr': 0.3401555388600153, 'f1': 0.35944219992180376, 'precision': 0.2819464322224494, 'recall': 0.49568655643422}",29047,2782
CARLA-style   ,28927.0,100.0,1.0,28828.0,0.030005550159567088,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7335771112901255,0.10664735633258744,0.2497512437810945,0.21921397379912663,0.2901734104046243,0.031970818581697244,0.5,6efa3a07-4544-34a0-b921-a155bd1a05e8,"{'tp': 251, 'fp': 894, 'tn': 27069, 'fn': 614}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.0043654 , 0.00431145, 0.00432896, ..., 0.00420483, 0.00416397,
       0.00414552])}","{'auc': 0.7335771112901255, 'aupr': 0.10664735633258744, 'f1': 0.2497512437810945, 'precision': 0.21921397379912663, 'recall': 0.2901734104046243}",28828,865
CARLA-style   ,21515.0,100.0,1.0,21416.0,0.07270265222263728,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7087209366819636,0.24139879087094057,0.3676025045445364,0.26812021213906895,0.5844572896596018,0.12508182687950048,0.5,43115f2a-baeb-3b01-96f7-4ea14188343c,"{'tp': 910, 'fp': 2484, 'tn': 17375, 'fn': 647}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00426566, 0.00429519, 0.0043292 , ..., 0.00409013, 0.00411485,
       0.00411741])}","{'auc': 0.7087209366819636, 'aupr': 0.24139879087094057, 'f1': 0.3676025045445364, 'precision': 0.26812021213906895, 'recall': 0.5844572896596018}",21416,1557
CARLA-style   ,21515.0,100.0,1.0,21416.0,0.06210310048561823,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7807393433798576,0.19973376351565225,0.36837209302325585,0.26666666666666666,0.5954887218045113,0.10843373493975904,0.5,9c639a46-34c8-39bc-aaf0-9144b37adfc8,"{'tp': 792, 'fp': 2178, 'tn': 17908, 'fn': 538}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00418293, 0.00418648, 0.00422978, ..., 0.00403233, 0.00405681,
       0.00402814])}","{'auc': 0.7807393433798576, 'aupr': 0.19973376351565225, 'f1': 0.36837209302325585, 'precision': 0.26666666666666666, 'recall': 0.5954887218045113}",21416,1330
CARLA-style   ,21195.0,100.0,1.0,21096.0,0.13685058778915435,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7680218160445216,0.30818912188070213,0.45690721649484545,0.3787602552415679,0.5756841011430551,0.14970618924707563,0.5,a07ac296-de40-3a7c-8df3-91f642cc14d0,"{'tp': 1662, 'fp': 2726, 'tn': 15483, 'fn': 1225}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00455469, 0.00461766, 0.00455697, ..., 0.00450354, 0.00448023,
       0.00442092])}","{'auc': 0.7680218160445216, 'aupr': 0.30818912188070213, 'f1': 0.45690721649484545, 'precision': 0.3787602552415679, 'recall': 0.5756841011430551}",21096,2887
CARLA-style   ,29126.0,100.0,1.0,29027.0,0.14696661728735316,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7102614449363293,0.4010389212747821,0.3892907624511516,0.30163638706352275,0.5487576183778715,0.21889261338395058,0.5,ba5f3328-9f3f-3ff5-a683-84437d16d554,"{'tp': 2341, 'fp': 5420, 'tn': 19341, 'fn': 1925}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00423607, 0.00423439, 0.00427932, ..., 0.00432363, 0.00434003,
       0.00432294])}","{'auc': 0.7102614449363293, 'aupr': 0.4010389212747821, 'f1': 0.3892907624511516, 'precision': 0.30163638706352275, 'recall': 0.5487576183778715}",29027,4266
CARLA-style   ,29141.0,100.0,1.0,29042.0,0.15866675848770745,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7211956072637287,0.46633765274933753,0.3950945626477541,0.6189814814814815,0.2901475694444444,0.03368257346320701,0.5,55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,"{'tp': 1337, 'fp': 823, 'tn': 23611, 'fn': 3271}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00424063, 0.00423978, 0.00424586, ..., 0.00433404, 0.00433145,
       0.00433483])}","{'auc': 0.7211956072637287, 'aupr': 0.46633765274933753, 'f1': 0.3950945626477541, 'precision': 0.6189814814814815, 'recall': 0.2901475694444444}",29042,4608
CARLA-style   ,29148.0,100.0,1.0,29049.0,0.054390856828118006,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.5473598546762264,0.05537196519972557,0.13833719691748636,0.0767679577219943,0.6987341772151898,0.48334486148021405,0.5,6d1114ae-be04-3c46-b5aa-be1a003a57cd,"{'tp': 1104, 'fp': 13277, 'tn': 14192, 'fn': 476}","{'y_true': array([0, 0, 0, ..., 1, 1, 1]), 'y_scores': array([0.0042196 , 0.00419159, 0.00418667, ..., 0.00438956, 0.00438959,
       0.00438529])}","{'auc': 0.5473598546762264, 'aupr': 0.05537196519972557, 'f1': 0.13833719691748636, 'precision': 0.0767679577219943, 'recall': 0.6987341772151898}",29049,1580
CARLA-style   ,29149.0,100.0,1.0,29050.0,0.0742512908777969,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.672890614208153,0.10240806508858911,0.22376738305941846,0.13486998761786836,0.6564673157162726,0.337745881827985,0.5,8723f0fb-eaef-32e6-b372-6034c9c04b80,"{'tp': 1416, 'fp': 9083, 'tn': 17810, 'fn': 741}","{'y_true': array([0, 0, 0, ..., 1, 1, 1]), 'y_scores': array([0.00425547, 0.00425959, 0.00425732, ..., 0.00444478, 0.00447606,
       0.00445081])}","{'auc': 0.672890614208153, 'aupr': 0.10240806508858911, 'f1': 0.22376738305941846, 'precision': 0.13486998761786836, 'recall': 0.6564673157162726}",29050,2157
CARLA-style   ,29151.0,100.0,1.0,29052.0,0.15995456422965718,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7436730532708151,0.4827748698546166,0.42554550292708887,0.42101937657961247,0.43017000215192597,0.11264085228436796,0.5,adb2fde9-8589-3f5b-a410-5fe14386c7af,"{'tp': 1999, 'fp': 2749, 'tn': 21656, 'fn': 2648}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.0041585 , 0.00413198, 0.00413988, ..., 0.00447392, 0.00447732,
       0.00449314])}","{'auc': 0.7436730532708151, 'aupr': 0.4827748698546166, 'f1': 0.42554550292708887, 'precision': 0.42101937657961247, 'recall': 0.43017000215192597}",29052,4647
CARLA-style   ,29151.0,100.0,1.0,29052.0,0.15303593556381662,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7938058731382568,0.4715068689938581,0.4710985574498134,0.4271081031644412,0.5251911830859199,0.12728602779809803,0.5,42d6616d-c9c5-370a-a8ba-17ead74f3114,"{'tp': 2335, 'fp': 3132, 'tn': 21474, 'fn': 2111}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.004129  , 0.0041325 , 0.00416408, ..., 0.00414351, 0.00416197,
       0.0041777 ])}","{'auc': 0.7938058731382568, 'aupr': 0.4715068689938581, 'f1': 0.4710985574498134, 'precision': 0.4271081031644412, 'recall': 0.5251911830859199}",29052,4446
